19:13 $ vw-varinfo ~/Documents/scratch/OpenNMT-py/vw/discriminator/data/wmt16_train.vw
FeatureName            HashVal   MinVal   MaxVal    Weight   RelScore
Teenagers               102032     0.00     0.00   +0.1664     10.48%
pile                    100764     0.00     0.00   +0.1663     10.48%
something               229205     0.00     0.00   +0.1662     10.47%
herself                  43762     0.00     0.00   +0.1658     10.44%
overlook                242765     0.00     0.00   +0.1658     10.44%
finishing               158423     0.00     0.00   +0.1656     10.43%
buildings               127499     0.00     0.00   +0.1656     10.43%
towards                  11228     0.00     0.00   +0.1651     10.40%
laugh                    93326     0.00     0.00   +0.1651     10.40%
miniskirt                93326     0.00     0.00   +0.1651     10.40%
basket                   58234     0.00     0.00   +0.1649     10.38%
patio                     3918     0.00     0.00   +0.1649     10.38%
Workmen                  97211     0.00     0.00   +0.1648     10.38%
kayakers                182563     0.00     0.00   +0.1648     10.38%
birds                    34896     0.00     0.00   +0.1648     10.38%
subway                  230142     0.00     0.00   +0.1647     10.38%
kayak                    80956     0.00     0.00   +0.1647     10.38%
eats                    182377     0.00     0.00   +0.1647     10.38%
Japanese                  5326     0.00     0.00   +0.1647     10.37%
goat                     93337     0.00     0.00   +0.1647     10.37%
marathon                209228     0.00     0.00   +0.1646     10.37%
complete                253752     0.00     0.00   +0.1646     10.37%
bride                   200448     0.00     0.00   +0.1645     10.36%
reaching                162174     0.00     0.00   +0.1641     10.34%
meat                    215343     0.00     0.00   +0.1639     10.32%
firefighters            261343     0.00     0.00   +0.1638     10.32%
Groups                   63022     0.00     0.00   +0.1638     10.31%
padding                  25835     0.00     0.00   +0.1635     10.30%
balcony                 181585     0.00     0.00   +0.1635     10.30%
splashing               143822     0.00     0.00   +0.1634     10.29%
sandy                   256748     0.00     0.00   +0.1632     10.28%
interacting              37421     0.00     0.00   +0.1631     10.27%
examining               166394     0.00     0.00   +0.1630     10.27%
robes                   174631     0.00     0.00   +0.1628     10.25%
van                     206094     0.00     0.00   +0.1625     10.24%
traverse                182400     0.00     0.00   +0.1624     10.23%
enjoys                  149759     0.00     0.00   +0.1624     10.23%
pinches                 149759     0.00     0.00   +0.1624     10.23%
lap                     108555     0.00     0.00   +0.1623     10.22%
trolley                  48866     0.00     0.00   +0.1623     10.22%
sharp                   192359     0.00     0.00   +0.1621     10.21%
filled                  184711     0.00     0.00   +0.1620     10.21%
boxes                    24190     0.00     0.00   +0.1620     10.20%
pole                    105859     0.00     0.00   +0.1620     10.20%
partying                189288     0.00     0.00   +0.1619     10.20%
runners                 205413     0.00     0.00   +0.1619     10.20%
having                   68433     0.00     0.00   +0.1616     10.18%
goalie                  156787     0.00     0.00   +0.1615     10.17%
work                    256769     0.00     0.00   +0.1614     10.17%
striped                  34214     0.00     0.00   +0.1614     10.16%
guide                   123976     0.00     0.00   +0.1613     10.16%
chase                   118713     0.00     0.00   +0.1607     10.13%
finish                   50856     0.00     0.00   +0.1606     10.12%
formal                   17885     0.00     0.00   +0.1606     10.12%
yellow                   46885     0.00     0.00   +0.1604     10.11%
inspecting              152847     0.00     0.00   +0.1604     10.10%
pasture                 178094     0.00     0.00   +0.1604     10.10%
Few                     186153     0.00     0.00   +0.1603     10.10%
Bike                    114066     0.00     0.00   +0.1603     10.10%
direction               134523     0.00     0.00   +0.1601     10.08%
shore                   159692     0.00     0.00   +0.1599     10.07%
motorbike                26327     0.00     0.00   +0.1599     10.07%
candy                   221281     0.00     0.00   +0.1598     10.06%
costume                 249023     0.00     0.00   +0.1594     10.04%
city                      5983     0.00     0.00   +0.1593     10.04%
maintenance             190706     0.00     0.00   +0.1592     10.03%
Dozens                  138344     0.00     0.00   +0.1587     10.00%
eat                     214917     0.00     0.00   +0.1584      9.98%
Wooden                   23443     0.00     0.00   +0.1581      9.96%
nap                      23443     0.00     0.00   +0.1581      9.96%
High                    194697     0.00     0.00   +0.1581      9.96%
demonstrating           214170     0.00     0.00   +0.1576      9.92%
cap                     219451     0.00     0.00   +0.1574      9.92%
outstreached             60596     0.00     0.00   +0.1574      9.91%
lifted                  194618     0.00     0.00   +0.1574      9.91%
with                    190312     0.00     0.00   +0.1573      9.91%
Mexico                  129735     0.00     0.00   +0.1572      9.90%
slot                    226225     0.00     0.00   +0.1570      9.89%
King                     48625     0.00     0.00   +0.1569      9.89%
being                     6875     0.00     0.00   +0.1569      9.89%
About                   161473     0.00     0.00   +0.1568      9.88%
cowboys                  52829     0.00     0.00   +0.1568      9.87%
husband                  80980     0.00     0.00   +0.1566      9.87%
getting                 180548     0.00     0.00   +0.1566      9.86%
lounge                  186026     0.00     0.00   +0.1565      9.86%
contemplating            31518     0.00     0.00   +0.1562      9.84%
sweater                  31663     0.00     0.00   +0.1559      9.82%
cheering                186650     0.00     0.00   +0.1559      9.82%
hold                    132335     0.00     0.00   +0.1558      9.81%
Wall                     36759     0.00     0.00   +0.1558      9.81%
bed                      47822     0.00     0.00   +0.1552      9.78%
shade                    77161     0.00     0.00   +0.1548      9.75%
security                217714     0.00     0.00   +0.1546      9.74%
mural                   247328     0.00     0.00   +0.1545      9.73%
cyclist                 157843     0.00     0.00   +0.1543      9.72%
older                   163045     0.00     0.00   +0.1543      9.72%
chairs                   49367     0.00     0.00   +0.1541      9.71%
hot                      51635     0.00     0.00   +0.1540      9.70%
toothbrush               51635     0.00     0.00   +0.1540      9.70%
cake                    128396     0.00     0.00   +0.1540      9.70%
waving                  160521     0.00     0.00   +0.1539      9.69%
guard                     1150     0.00     0.00   +0.1538      9.68%
Spectators              221696     0.00     0.00   +0.1537      9.68%
map                      78536     0.00     0.00   +0.1533      9.66%
performance             255443     0.00     0.00   +0.1531      9.64%
stalks                  191452     0.00     0.00   +0.1531      9.64%
completed                 2778     0.00     0.00   +0.1528      9.63%
groceries               157516     0.00     0.00   +0.1526      9.61%
tag                     126699     0.00     0.00   +0.1525      9.61%
sliding                 130849     0.00     0.00   +0.1525      9.61%
audience                177302     0.00     0.00   +0.1524      9.60%
asian                   215524     0.00     0.00   +0.1523      9.59%
old                     205980     0.00     0.00   +0.1522      9.59%
spotlight               182314     0.00     0.00   +0.1522      9.59%
jewelry                 229789     0.00     0.00   +0.1521      9.58%
planting                178484     0.00     0.00   +0.1516      9.55%
Standing                 43014     0.00     0.00   +0.1514      9.54%
umpire                  198443     0.00     0.00   +0.1510      9.51%
bucking                 256119     0.00     0.00   +0.1509      9.51%
ocean                   206152     0.00     0.00   +0.1509      9.51%
Pilot                    25499     0.00     0.00   +0.1509      9.50%
cockpit                  46117     0.00     0.00   +0.1509      9.50%
stacking                223437     0.00     0.00   +0.1509      9.50%
pipe                    250621     0.00     0.00   +0.1506      9.49%
From                    209320     0.00     0.00   +0.1505      9.48%
York                     92928     0.00     0.00   +0.1504      9.47%
studio                  145227     0.00     0.00   +0.1501      9.46%
shoot                   250525     0.00     0.00   +0.1501      9.45%
battle                  103842     0.00     0.00   +0.1498      9.44%
microphones              85256     0.00     0.00   +0.1497      9.43%
opponent                162057     0.00     0.00   +0.1497      9.43%
cave                    110574     0.00     0.00   +0.1495      9.42%
backs                    11315     0.00     0.00   +0.1495      9.42%
produce                  59425     0.00     0.00   +0.1493      9.40%
Orioles                  69386     0.00     0.00   +0.1492      9.40%
violins                  69386     0.00     0.00   +0.1492      9.40%
yard                     26784     0.00     0.00   +0.1491      9.39%
aimed                   191994     0.00     0.00   +0.1490      9.39%
comfortable             191994     0.00     0.00   +0.1490      9.39%
jackets                 139077     0.00     0.00   +0.1489      9.38%
gift                      1500     0.00     0.00   +0.1488      9.37%
cellphone                44890     0.00     0.00   +0.1488      9.37%
Adult                    35068     0.00     0.00   +0.1487      9.37%
hills                   236829     0.00     0.00   +0.1487      9.37%
submerged               161619     0.00     0.00   +0.1486      9.36%
lakeside                 66177     0.00     0.00   +0.1484      9.35%
pads                    179804     0.00     0.00   +0.1483      9.34%
urban                   128629     0.00     0.00   +0.1482      9.34%
warming                 151552     0.00     0.00   +0.1482      9.34%
Singer                  251998     0.00     0.00   +0.1479      9.32%
pet                     223890     0.00     0.00   +0.1475      9.29%
mops                    125080     0.00     0.00   +0.1473      9.28%
tasty                    56581     0.00     0.00   +0.1473      9.28%
nail                     37855     0.00     0.00   +0.1471      9.27%
indoor                  189731     0.00     0.00   +0.1470      9.26%
Orange                  181075     0.00     0.00   +0.1468      9.25%
sleeps                   26358     0.00     0.00   +0.1468      9.25%
skateboarder            178083     0.00     0.00   +0.1466      9.23%
house                   215374     0.00     0.00   +0.1465      9.23%
canoes                   22756     0.00     0.00   +0.1465      9.23%
mall                    203202     0.00     0.00   +0.1463      9.22%
beneath                  10677     0.00     0.00   +0.1460      9.20%
View                    254069     0.00     0.00   +0.1460      9.19%
siding                  254069     0.00     0.00   +0.1460      9.19%
landmark                 98265     0.00     0.00   +0.1458      9.19%
Brown                    47916     0.00     0.00   +0.1458      9.19%
horseshoes               47916     0.00     0.00   +0.1458      9.19%
lined                    41860     0.00     0.00   +0.1455      9.17%
pass                    134493     0.00     0.00   +0.1455      9.16%
group                   136742     0.00     0.00   +0.1454      9.16%
newly                   211576     0.00     0.00   +0.1450      9.13%
square                   34118     0.00     0.00   +0.1448      9.12%
pans                    240327     0.00     0.00   +0.1448      9.12%
emergency                57451     0.00     0.00   +0.1448      9.12%
Outdoors                234001     0.00     0.00   +0.1447      9.12%
dishes                  168806     0.00     0.00   +0.1446      9.11%
drinking                 91540     0.00     0.00   +0.1446      9.11%
1                            1     0.00     0.00   +0.1446      9.11%
Skateboarder            118079     0.00     0.00   +0.1444      9.10%
cleaned                 106107     0.00     0.00   +0.1443      9.09%
metro                    80108     0.00     0.00   +0.1443      9.09%
aisle                    72388     0.00     0.00   +0.1442      9.09%
meticulously             72388     0.00     0.00   +0.1442      9.09%
person                   78264     0.00     0.00   +0.1442      9.08%
couch                   104639     0.00     0.00   +0.1442      9.08%
approaching              13556     0.00     0.00   +0.1440      9.07%
celebration             114655     0.00     0.00   +0.1437      9.05%
excited                 245227     0.00     0.00   +0.1437      9.05%
Italy                   129834     0.00     0.00   +0.1437      9.05%
base                    198032     0.00     0.00   +0.1436      9.04%
riders                  147960     0.00     0.00   +0.1434      9.04%
Lone                    234904     0.00     0.00   +0.1434      9.03%
gliding                 229275     0.00     0.00   +0.1432      9.02%
hurdle                   76874     0.00     0.00   +0.1432      9.02%
derby                    32599     0.00     0.00   +0.1432      9.02%
Cars                    155067     0.00     0.00   +0.1431      9.01%
angle                   232292     0.00     0.00   +0.1431      9.01%
Teen                    224301     0.00     0.00   +0.1429      9.00%
sunset                   69112     0.00     0.00   +0.1427      8.99%
carousel                216639     0.00     0.00   +0.1426      8.98%
Evening                 201761     0.00     0.00   +0.1426      8.98%
smoke                   259376     0.00     0.00   +0.1426      8.98%
firemen                 230265     0.00     0.00   +0.1425      8.97%
canvas                  174974     0.00     0.00   +0.1423      8.96%
ripped                  181724     0.00     0.00   +0.1422      8.96%
screen                  181724     0.00     0.00   +0.1422      8.96%
zoo                      34018     0.00     0.00   +0.1422      8.95%
speaks                  139773     0.00     0.00   +0.1421      8.95%
fair                     14082     0.00     0.00   +0.1420      8.94%
fish                    174223     0.00     0.00   +0.1418      8.93%
directing                48352     0.00     0.00   +0.1418      8.93%
skiing                   34955     0.00     0.00   +0.1418      8.93%
lift                    138592     0.00     0.00   +0.1417      8.92%
around                   19237     0.00     0.00   +0.1416      8.92%
flipping                166096     0.00     0.00   +0.1416      8.92%
buckets                 215307     0.00     0.00   +0.1414      8.91%
ATV                     209250     0.00     0.00   +0.1413      8.90%
taxi                    164342     0.00     0.00   +0.1413      8.90%
shades                   41286     0.00     0.00   +0.1413      8.90%
decide                  262068     0.00     0.00   +0.1412      8.89%
photos                   81229     0.00     0.00   +0.1409      8.87%
Overhead                254511     0.00     0.00   +0.1406      8.86%
scuba                    71692     0.00     0.00   +0.1404      8.85%
nearby                   54316     0.00     0.00   +0.1404      8.84%
gravel                  160961     0.00     0.00   +0.1403      8.84%
middle                   53154     0.00     0.00   +0.1401      8.82%
Sitting                 121395     0.00     0.00   +0.1397      8.80%
bout                      1571     0.00     0.00   +0.1396      8.79%
strollers                57349     0.00     0.00   +0.1395      8.79%
)                       221701     0.00     0.00   +0.1394      8.78%
string                   96939     0.00     0.00   +0.1393      8.78%
drink                   237234     0.00     0.00   +0.1393      8.77%
ear                     177956     0.00     0.00   +0.1392      8.77%
walker                  197298     0.00     0.00   +0.1391      8.76%
metal                    44929     0.00     0.00   +0.1390      8.76%
approximately           131101     0.00     0.00   +0.1390      8.75%
courtyard                86442     0.00     0.00   +0.1388      8.74%
Chefs                     4547     0.00     0.00   +0.1388      8.74%
cardboard                14691     0.00     0.00   +0.1387      8.74%
Employees                91251     0.00     0.00   +0.1387      8.74%
vests                    34733     0.00     0.00   +0.1387      8.73%
raises                  180080     0.00     0.00   +0.1386      8.73%
orchestra               165094     0.00     0.00   +0.1385      8.73%
involving               230792     0.00     0.00   +0.1383      8.71%
fast                     70383     0.00     0.00   +0.1381      8.70%
broom                   220630     0.00     0.00   +0.1381      8.70%
women                   127129     0.00     0.00   +0.1381      8.70%
Cafe                     45167     0.00     0.00   +0.1380      8.69%
Happy                    43311     0.00     0.00   +0.1380      8.69%
kayaking                156818     0.00     0.00   +0.1380      8.69%
throws                  186128     0.00     0.00   +0.1380      8.69%
juice                   241728     0.00     0.00   +0.1376      8.67%
crossing                137419     0.00     0.00   +0.1375      8.66%
bagpipes                176848     0.00     0.00   +0.1375      8.66%
railing                 175057     0.00     0.00   +0.1373      8.65%
bring                   220043     0.00     0.00   +0.1373      8.65%
stadium                 220043     0.00     0.00   +0.1373      8.65%
leaving                 116407     0.00     0.00   +0.1371      8.64%
opens                   146069     0.00     0.00   +0.1371      8.64%
stair                    78993     0.00     0.00   +0.1371      8.63%
Sports                  233046     0.00     0.00   +0.1368      8.61%
over                     25819     0.00     0.00   +0.1364      8.59%
Lots                     37359     0.00     0.00   +0.1363      8.59%
stare                    99311     0.00     0.00   +0.1363      8.58%
his                     182784     0.00     0.00   +0.1362      8.58%
Dark                    191285     0.00     0.00   +0.1361      8.57%
skydiving                55034     0.00     0.00   +0.1360      8.57%
long                    144367     0.00     0.00   +0.1355      8.54%
vegetable               248816     0.00     0.00   +0.1355      8.53%
entertainer              27176     0.00     0.00   +0.1353      8.52%
bus                      22933     0.00     0.00   +0.1352      8.51%
pajamas                  83260     0.00     0.00   +0.1348      8.49%
bag                     197624     0.00     0.00   +0.1346      8.48%
tomatoes                 63111     0.00     0.00   +0.1345      8.47%
bicyclist               180043     0.00     0.00   +0.1345      8.47%
foreground              114874     0.00     0.00   +0.1342      8.46%
outfit                  255233     0.00     0.00   +0.1341      8.44%
apple                   190608     0.00     0.00   +0.1340      8.44%
Road                    128919     0.00     0.00   +0.1338      8.43%
wife                     20875     0.00     0.00   +0.1336      8.41%
height                  251127     0.00     0.00   +0.1336      8.41%
squatting                22401     0.00     0.00   +0.1335      8.41%
Cyclists                171731     0.00     0.00   +0.1331      8.39%
shops                   171304     0.00     0.00   +0.1331      8.38%
How                     105808     0.00     0.00   +0.1329      8.37%
cat                      38695     0.00     0.00   +0.1328      8.36%
shown                    54898     0.00     0.00   +0.1328      8.36%
married                 214679     0.00     0.00   +0.1323      8.34%
Very                    151256     0.00     0.00   +0.1322      8.32%
pillow                   10638     0.00     0.00   +0.1321      8.32%
upside                  145951     0.00     0.00   +0.1321      8.32%
cuts                    190582     0.00     0.00   +0.1319      8.31%
steps                    56659     0.00     0.00   +0.1319      8.31%
chair                   248966     0.00     0.00   +0.1318      8.30%
stroke                  220963     0.00     0.00   +0.1318      8.30%
rifle                    99548     0.00     0.00   +0.1318      8.30%
Yellow                  222840     0.00     0.00   +0.1317      8.30%
public                    4184     0.00     0.00   +0.1316      8.29%
crane                   182603     0.00     0.00   +0.1315      8.29%
cooked                  138304     0.00     0.00   +0.1315      8.28%
tricks                   88469     0.00     0.00   +0.1315      8.28%
ambulance               206136     0.00     0.00   +0.1315      8.28%
slicing                  37113     0.00     0.00   +0.1314      8.28%
Colorful                124056     0.00     0.00   +0.1314      8.27%
dinner                  252764     0.00     0.00   +0.1312      8.26%
probably                122694     0.00     0.00   +0.1311      8.26%
butterfly                 2714     0.00     0.00   +0.1310      8.25%
topless                  80302     0.00     0.00   +0.1308      8.24%
mascot                  161769     0.00     0.00   +0.1308      8.24%
Scottish                143238     0.00     0.00   +0.1306      8.23%
fancy                   251079     0.00     0.00   +0.1306      8.22%
Gardening               139972     0.00     0.00   +0.1305      8.22%
Asia                    181084     0.00     0.00   +0.1305      8.22%
rough                    27807     0.00     0.00   +0.1305      8.22%
Nurses                  134486     0.00     0.00   +0.1304      8.21%
flower                  174805     0.00     0.00   +0.1303      8.21%
catcher                  46475     0.00     0.00   +0.1303      8.21%
rifles                  195340     0.00     0.00   +0.1303      8.21%
bass                     65788     0.00     0.00   +0.1302      8.20%
performer                65788     0.00     0.00   +0.1302      8.20%
passenger               204029     0.00     0.00   +0.1299      8.18%
rocky                   148477     0.00     0.00   +0.1297      8.17%
incline                 220932     0.00     0.00   +0.1296      8.16%
astronaut               245558     0.00     0.00   +0.1295      8.16%
parachute               251057     0.00     0.00   +0.1295      8.15%
Fisherman               179849     0.00     0.00   +0.1293      8.14%
Orient                  139809     0.00     0.00   +0.1291      8.13%
Motorcycle              152255     0.00     0.00   +0.1289      8.12%
beverage                  6290     0.00     0.00   +0.1288      8.11%
Rafts                      511     0.00     0.00   +0.1288      8.11%
witnessed               136329     0.00     0.00   +0.1287      8.11%
flowers                 124377     0.00     0.00   +0.1287      8.10%
swimmers                207468     0.00     0.00   +0.1286      8.10%
Middle                  117983     0.00     0.00   +0.1285      8.10%
swimmer                 258352     0.00     0.00   +0.1285      8.09%
frisbee                 261172     0.00     0.00   +0.1284      8.09%
#                        91983     0.00     0.00   +0.1283      8.08%
platform                195733     0.00     0.00   +0.1282      8.08%
fountains               244204     0.00     0.00   +0.1282      8.07%
picking                 113208     0.00     0.00   +0.1281      8.07%
7                            7     0.00     0.00   +0.1280      8.06%
kitten                       7     0.00     0.00   +0.1280      8.06%
Depressed               165449     0.00     0.00   +0.1279      8.06%
advantage                94731     0.00     0.00   +0.1279      8.05%
bowl                    179953     0.00     0.00   +0.1278      8.05%
lifts                   164967     0.00     0.00   +0.1278      8.05%
bicyclists                4533     0.00     0.00   +0.1277      8.04%
Miami                    26913     0.00     0.00   +0.1277      8.04%
jog                      26913     0.00     0.00   +0.1277      8.04%
Preparing                91118     0.00     0.00   +0.1276      8.04%
Campers                 201719     0.00     0.00   +0.1275      8.03%
working                 105417     0.00     0.00   +0.1275      8.03%
winter                   42444     0.00     0.00   +0.1274      8.03%
sharing                 178081     0.00     0.00   +0.1274      8.02%
snowboarders              5850     0.00     0.00   +0.1274      8.02%
lone                    197526     0.00     0.00   +0.1273      8.02%
rings                   213319     0.00     0.00   +0.1273      8.02%
vendors                 260039     0.00     0.00   +0.1273      8.02%
tables                  222984     0.00     0.00   +0.1270      8.00%
Kenya                   229154     0.00     0.00   +0.1268      7.99%
Please                  109792     0.00     0.00   +0.1268      7.99%
motorcyclist              2331     0.00     0.00   +0.1268      7.98%
Olympics                153929     0.00     0.00   +0.1267      7.98%
tilted                  153929     0.00     0.00   +0.1267      7.98%
mound                   143660     0.00     0.00   +0.1266      7.97%
trees                   217088     0.00     0.00   +0.1266      7.97%
hut                     180665     0.00     0.00   +0.1263      7.95%
sticking                 45136     0.00     0.00   +0.1262      7.95%
Greyhound               171053     0.00     0.00   +0.1262      7.95%
Are                     243253     0.00     0.00   +0.1262      7.95%
loves                   242439     0.00     0.00   +0.1262      7.95%
rollerblading            65929     0.00     0.00   +0.1262      7.95%
skateboarding           117089     0.00     0.00   +0.1260      7.94%
contents                224373     0.00     0.00   +0.1258      7.93%
hear                     28965     0.00     0.00   +0.1258      7.92%
area                    135012     0.00     0.00   +0.1258      7.92%
Minnesota                47256     0.00     0.00   +0.1256      7.91%
crying                   33828     0.00     0.00   +0.1255      7.91%
maroon                   92813     0.00     0.00   +0.1254      7.90%
cab                     133911     0.00     0.00   +0.1254      7.90%
exercise                190069     0.00     0.00   +0.1254      7.90%
stupid                  225695     0.00     0.00   +0.1251      7.88%
Farmers                 160904     0.00     0.00   +0.1251      7.88%
foreign                 102642     0.00     0.00   +0.1250      7.87%
scaffold                137796     0.00     0.00   +0.1249      7.86%
forming                 145515     0.00     0.00   +0.1246      7.85%
Snowboarders             48653     0.00     0.00   +0.1244      7.84%
observed                151366     0.00     0.00   +0.1243      7.83%
Room                     61822     0.00     0.00   +0.1243      7.83%
dreadlocks               26839     0.00     0.00   +0.1243      7.83%
accident                196946     0.00     0.00   +0.1240      7.81%
biking                   12498     0.00     0.00   +0.1240      7.81%
focuses                  81648     0.00     0.00   +0.1240      7.81%
roadside                 81648     0.00     0.00   +0.1240      7.81%
brass                   153036     0.00     0.00   +0.1239      7.80%
suspended               246467     0.00     0.00   +0.1238      7.80%
statues                 260220     0.00     0.00   +0.1237      7.79%
touching                 55111     0.00     0.00   +0.1237      7.79%
seated                  229031     0.00     0.00   +0.1236      7.79%
knit                     69171     0.00     0.00   +0.1235      7.78%
pull                    160451     0.00     0.00   +0.1235      7.78%
prepares                 99376     0.00     0.00   +0.1235      7.78%
machines                155156     0.00     0.00   +0.1233      7.77%
RollerSkaters            31564     0.00     0.00   +0.1233      7.77%
Bieber                   44641     0.00     0.00   +0.1233      7.76%
Justin                   32554     0.00     0.00   +0.1233      7.76%
washing                 261838     0.00     0.00   +0.1232      7.76%
barbecue                 26548     0.00     0.00   +0.1232      7.76%
Karate                   13947     0.00     0.00   +0.1232      7.76%
darkness                249810     0.00     0.00   +0.1231      7.75%
completing               90716     0.00     0.00   +0.1231      7.75%
bows                     21441     0.00     0.00   +0.1227      7.73%
Newlywed                242550     0.00     0.00   +0.1227      7.73%
careful                  10394     0.00     0.00   +0.1226      7.72%
badminton               256511     0.00     0.00   +0.1226      7.72%
Chairs                   69997     0.00     0.00   +0.1226      7.72%
trick                   261894     0.00     0.00   +0.1225      7.72%
blowing                 174351     0.00     0.00   +0.1225      7.71%
teammate                 57439     0.00     0.00   +0.1223      7.70%
Jockeys                  40000     0.00     0.00   +0.1223      7.70%
Lambs                   183369     0.00     0.00   +0.1222      7.70%
paddling                 15750     0.00     0.00   +0.1219      7.68%
hangs                    24212     0.00     0.00   +0.1217      7.66%
Lets                    166318     0.00     0.00   +0.1215      7.66%
Artists                  94359     0.00     0.00   +0.1213      7.64%
stream                  223866     0.00     0.00   +0.1213      7.64%
instrument               53922     0.00     0.00   +0.1212      7.63%
fault                   181688     0.00     0.00   +0.1210      7.62%
Repairing                99048     0.00     0.00   +0.1210      7.62%
coastline               167458     0.00     0.00   +0.1210      7.62%
mulch                    70645     0.00     0.00   +0.1210      7.62%
racers                  258379     0.00     0.00   +0.1210      7.62%
gymnasium                35190     0.00     0.00   +0.1210      7.62%
presentation            200958     0.00     0.00   +0.1206      7.60%
Country                 222765     0.00     0.00   +0.1206      7.60%
woods                    98863     0.00     0.00   +0.1205      7.59%
drive                    96644     0.00     0.00   +0.1205      7.59%
slope                   163291     0.00     0.00   +0.1202      7.57%
spoon                   172350     0.00     0.00   +0.1200      7.56%
path                    216577     0.00     0.00   +0.1199      7.56%
Pottery                 192671     0.00     0.00   +0.1199      7.55%
appear                  157550     0.00     0.00   +0.1199      7.55%
bathtub                 149411     0.00     0.00   +0.1198      7.55%
railroad                242578     0.00     0.00   +0.1198      7.55%
maintain                  1991     0.00     0.00   +0.1198      7.55%
low                     164116     0.00     0.00   +0.1197      7.54%
meal                     90285     0.00     0.00   +0.1196      7.53%
barriers                129476     0.00     0.00   +0.1195      7.53%
crosses                  73305     0.00     0.00   +0.1195      7.53%
ensure                  238912     0.00     0.00   +0.1195      7.53%
blow                    101499     0.00     0.00   +0.1195      7.53%
winters                 104730     0.00     0.00   +0.1195      7.53%
snowmen                  46172     0.00     0.00   +0.1194      7.52%
writes                  152457     0.00     0.00   +0.1194      7.52%
hopscotch               148936     0.00     0.00   +0.1193      7.51%
skirts                  192526     0.00     0.00   +0.1193      7.51%
empanadas                 2895     0.00     0.00   +0.1192      7.51%
rickshaw                161359     0.00     0.00   +0.1192      7.51%
Phone                   153710     0.00     0.00   +0.1192      7.51%
Sooner                  257742     0.00     0.00   +0.1191      7.50%
Sparks                  215156     0.00     0.00   +0.1191      7.50%
welds                   257742     0.00     0.00   +0.1191      7.50%
repairing                87029     0.00     0.00   +0.1191      7.50%
Car                        535     0.00     0.00   +0.1191      7.50%
distracted              227557     0.00     0.00   +0.1191      7.50%
instructors             227557     0.00     0.00   +0.1191      7.50%
Olympians               250250     0.00     0.00   +0.1190      7.50%
Eastern                 235860     0.00     0.00   +0.1189      7.49%
Worlds                  182812     0.00     0.00   +0.1189      7.49%
Variety                 244017     0.00     0.00   +0.1188      7.48%
spice                    61565     0.00     0.00   +0.1188      7.48%
Rocks                    51088     0.00     0.00   +0.1187      7.48%
Bag                     139583     0.00     0.00   +0.1187      7.48%
protesting               87413     0.00     0.00   +0.1186      7.47%
snowed                  117538     0.00     0.00   +0.1185      7.47%
snowscape                25184     0.00     0.00   +0.1185      7.47%
trudge                  116735     0.00     0.00   +0.1185      7.47%
arrange                   9640     0.00     0.00   +0.1185      7.46%
Graffiti                208823     0.00     0.00   +0.1185      7.46%
covers                  100712     0.00     0.00   +0.1185      7.46%
camouflage               51258     0.00     0.00   +0.1185      7.46%
parlor                   74133     0.00     0.00   +0.1185      7.46%
US                      144652     0.00     0.00   +0.1184      7.46%
clams                   175438     0.00     0.00   +0.1184      7.46%
suits                    98779     0.00     0.00   +0.1183      7.45%
Family                   10615     0.00     0.00   +0.1182      7.45%
registers               155604     0.00     0.00   +0.1182      7.45%
Fireworks               162402     0.00     0.00   +0.1182      7.44%
caches                  141974     0.00     0.00   +0.1181      7.44%
carving                 141974     0.00     0.00   +0.1181      7.44%
enters                  137446     0.00     0.00   +0.1181      7.44%
yielding                168111     0.00     0.00   +0.1181      7.44%
horns                    32403     0.00     0.00   +0.1180      7.43%
safely                   70161     0.00     0.00   +0.1179      7.43%
Commentators             31117     0.00     0.00   +0.1179      7.43%
broadcasters            115068     0.00     0.00   +0.1179      7.43%
evening                 139646     0.00     0.00   +0.1179      7.42%
mow                     139646     0.00     0.00   +0.1179      7.42%
jamming                 258650     0.00     0.00   +0.1177      7.42%
Finally                 210684     0.00     0.00   +0.1177      7.42%
wifi                    172644     0.00     0.00   +0.1177      7.42%
backdrop                   106     0.00     0.00   +0.1177      7.41%
kickboxing               40941     0.00     0.00   +0.1175      7.40%
strolling               214814     0.00     0.00   +0.1175      7.40%
symmetry                170731     0.00     0.00   +0.1175      7.40%
Hot                      91670     0.00     0.00   +0.1174      7.39%
Most                     57212     0.00     0.00   +0.1174      7.39%
amidst                  121814     0.00     0.00   +0.1173      7.39%
fun                      31535     0.00     0.00   +0.1172      7.38%
boards                   84219     0.00     0.00   +0.1171      7.38%
College                 186566     0.00     0.00   +0.1171      7.38%
Cunningham              202349     0.00     0.00   +0.1170      7.37%
NYC                      38070     0.00     0.00   +0.1170      7.37%
plane                    79544     0.00     0.00   +0.1170      7.37%
clown                   164508     0.00     0.00   +0.1169      7.36%
open                     32199     0.00     0.00   +0.1169      7.36%
11                          11     0.00     0.00   +0.1169      7.36%
making                    1230     0.00     0.00   +0.1168      7.36%
bake                     93182     0.00     0.00   +0.1168      7.36%
plank                     3276     0.00     0.00   +0.1168      7.36%
turf                    254693     0.00     0.00   +0.1167      7.35%
California              140200     0.00     0.00   +0.1166      7.35%
Peoples                 249896     0.00     0.00   +0.1166      7.34%
Handyman                112591     0.00     0.00   +0.1166      7.34%
outer                   198528     0.00     0.00   +0.1166      7.34%
