19:13 $ vw-varinfo ~/Documents/scratch/OpenNMT-py/vw/discriminator/data/wmt16_train.vw
FeatureName            HashVal   MinVal   MaxVal    Weight   RelScore
putting                  12976     0.00     0.00   +0.3722     23.44%
looking                 217318     0.00     0.00   +0.3705     23.34%
Indian                  206238     0.00     0.00   +0.3695     23.27%
crowd                   243499     0.00     0.00   +0.3689     23.24%
near                    243308     0.00     0.00   +0.3681     23.18%
boys                     53450     0.00     0.00   +0.3679     23.17%
posing                  114499     0.00     0.00   +0.3667     23.10%
through                 188069     0.00     0.00   +0.3661     23.06%
Here                     72999     0.00     0.00   +0.3654     23.02%
mountain                255271     0.00     0.00   +0.3635     22.90%
concert                  39287     0.00     0.00   +0.3630     22.86%
showing                 118583     0.00     0.00   +0.3614     22.77%
stands                  239584     0.00     0.00   +0.3614     22.76%
street                  199244     0.00     0.00   +0.3611     22.74%
basketball               69756     0.00     0.00   +0.3605     22.71%
appears                 206884     0.00     0.00   +0.3597     22.66%
dogs                      6461     0.00     0.00   +0.3590     22.61%
walks                    39076     0.00     0.00   +0.3573     22.51%
reading                 212029     0.00     0.00   +0.3552     22.37%
hockey                  220699     0.00     0.00   +0.3549     22.35%
store                    55758     0.00     0.00   +0.3535     22.27%
racing                   24599     0.00     0.00   +0.3523     22.19%
jump                    199114     0.00     0.00   +0.3519     22.17%
ground                   73438     0.00     0.00   +0.3511     22.12%
various                 141714     0.00     0.00   +0.3505     22.08%
classroom               196139     0.00     0.00   +0.3485     21.95%
adults                  233966     0.00     0.00   +0.3477     21.90%
African                 195057     0.00     0.00   +0.3476     21.89%
band                    114235     0.00     0.00   +0.3444     21.70%
red                       9981     0.00     0.00   +0.3442     21.68%
Firefighters            150688     0.00     0.00   +0.3423     21.56%
touches                 150688     0.00     0.00   +0.3423     21.56%
rocks                   181839     0.00     0.00   +0.3421     21.55%
mountains               189951     0.00     0.00   +0.3415     21.51%
kid                     189816     0.00     0.00   +0.3403     21.44%
front                    11043     0.00     0.00   +0.3391     21.36%
tree                     43109     0.00     0.00   +0.3386     21.33%
stand                     6035     0.00     0.00   +0.3385     21.32%
Girls                    37152     0.00     0.00   +0.3378     21.28%
white                   196627     0.00     0.00   +0.3374     21.26%
busy                    118455     0.00     0.00   +0.3372     21.24%
match                   172120     0.00     0.00   +0.3363     21.18%
throwing                260317     0.00     0.00   +0.3339     21.03%
It                      204819     0.00     0.00   +0.3330     20.97%
prepare                  90956     0.00     0.00   +0.3329     20.97%
orange                  255539     0.00     0.00   +0.3320     20.91%
He                      121044     0.00     0.00   +0.3300     20.78%
outdoors                147228     0.00     0.00   +0.3293     20.74%
setting                  47497     0.00     0.00   +0.3292     20.74%
colorful                219092     0.00     0.00   +0.3283     20.68%
Male                     48758     0.00     0.00   +0.3277     20.64%
sit                     236579     0.00     0.00   +0.3270     20.60%
pictures                 34823     0.00     0.00   +0.3269     20.59%
martial                 130046     0.00     0.00   +0.3241     20.41%
Black                    15540     0.00     0.00   +0.3236     20.38%
Tennis                  109559     0.00     0.00   +0.3229     20.34%
"                       130227     0.00     0.00   +0.3218     20.27%
wear                    146747     0.00     0.00   +0.3211     20.22%
Pedestrians             178450     0.00     0.00   +0.3209     20.21%
On                      115678     0.00     0.00   +0.3197     20.14%
wrestling               252203     0.00     0.00   +0.3189     20.09%
Police                  205890     0.00     0.00   +0.3187     20.07%
rope                    206998     0.00     0.00   +0.3185     20.06%
Baby                    257455     0.00     0.00   +0.3180     20.03%
female                  116863     0.00     0.00   +0.3179     20.02%
lawn                    109185     0.00     0.00   +0.3171     19.97%
ladies                   83875     0.00     0.00   +0.3166     19.94%
snowshoe                 83875     0.00     0.00   +0.3166     19.94%
surfing                  12541     0.00     0.00   +0.3163     19.92%
